ticker,ts,mid
XLV,30:46.2,77.4112
XLI,32:40.3,102.3113
XLU,34:39.7,103.8194
XLV,31:39.0,85.5453
XLC,33:26.5,75.8172
XLF,33:26.5,148.842
XLI,32:31.5,89.4858
XLP,33:46.5,52.5658
XLRE,33:08.6,82.2841
XLP,2/12/2026 9:34,52.1668
XLY,34:55.7,148.1989
XLP,2/12/2026 9:32,47.2823
XLB,35:23.0,161.2994
XLB,34:11.6,182.5607
XLRE,34:02.2,103.6997
XLU,31:59.7,106.2652
XLK,35:04.8,148.0319
XLC,35:02.7,67.4669
XLY,35:05.5,150.4144
XLY,32:23.8,149.5657
XLV,30:55.6,66.186
XLC,35:40.9,58.4412
XLU,2/12/2026 9:35,86.2145
XLV,34:11.6,147.6878
XLF,35:01.7,205.9945
XLY,34:56.1,148.7476
XLB,33:31.4,147.5669
XLY,34:48.7,143.2006
XLY,32:40.6,168.711
XLY,33:28.2,151.3305
XLF,31:02.3,89.7246
XLE,34:34.4,218.1372
XLY,31:06.1,88.6229
XLF,2/12/2026 9:35,206.1154
XLK,34:35.4,135.2727
XLRE,34:11.6,111.2303
XLF,35:32.9,172.706
XLK,31:02.6,100.1
XLP,31:26.1,50.2609
XLB,33:54.8,154.9792
XLB,32:26.6,161.695
XLF,30:23.4,87.3052
XLC,31:05.8,81.4501
XLF,31:25.0,91.1851
XLC,34:33.3,83.5468
XLY,30:56.3,105.5396
XLU,31:33.4,129.0035
XLP,35:26.5,68.8956
XLP,32:41.3,47.25
XLV,33:39.8,145.4809
XLU,33:07.9,91.2959
XLF,34:18.3,150.1694
XLY,33:32.4,143.836
XLY,32:31.9,155.2729
XLC,35:12.9,63.7824
XLE,32:05.3,168.5918
XLP,2/12/2026 9:33,47.8841
XLU,33:19.8,81.507
XLRE,35:40.5,100.5229
XLB,35:20.9,155.864
XLY,31:35.9,116.6492
XLB,32:59.5,181.8108
XLY,35:49.3,295.5538
XLB,34:23.5,162.8151
XLK,31:17.7,111.3664
XLF,31:25.4,92.8943
XLU,32:02.5,107.7089
XLU,32:21.7,97.9998
XLI,35:08.3,177.8185
XLI,31:33.4,86.0114
XLU,30:31.1,112.6585
XLV,32:06.3,111.8726
XLRE,31:42.5,76.588
XLI,31:18.4,83.1125
XLU,2/12/2026 9:30,99.3474
XLY,31:26.8,98.6776
XLY,34:12.7,133.686
XLRE,32:44.1,92.0979
XLY,30:41.3,101.8497
XLF,35:16.4,193.2287
XLK,2/12/2026 9:31,113.3516
XLI,32:50.1,111.1392
XLY,31:50.2,128.571
XLRE,30:50.4,76.589
XLU,32:28.0,97.8419
XLP,32:37.5,46.3689
XLF,2/12/2026 9:35,175.299
XLC,33:13.2,85.1506
XLF,34:48.0,179.7477
XLP,32:00.4,50.1948
XLU,35:14.7,88.2491
XLU,34:09.9,90.0095
XLK,31:09.6,112.0498
XLI,34:05.3,161.3492
XLY,35:41.9,274.3358
XLF,2/12/2026 9:35,173.0581
XLRE,30:43.4,87.1067
XLRE,32:38.9,88.0066
XLF,30:18.9,88.8214
XLU,32:07.0,112.673
XLF,31:46.0,103.8552
XLC,33:31.7,74.3197
XLI,32:12.6,85.6874
XLY,35:36.7,237.914
XLRE,33:46.8,117.128
XLC,2/12/2026 9:34,78.0747
XLE,32:00.0,160.8771
XLK,35:32.9,126.178
XLC,33:25.4,77.8119
XLC,34:08.5,59.3438
XLY,35:40.2,263.0218
XLB,34:45.9,125.4947
XLU,30:57.0,101.2987
XLB,33:20.9,168.8478
XLB,33:50.3,154.2304
XLC,34:58.2,66.8783
XLE,31:45.7,142.6503
XLU,32:24.5,96.4017
XLK,31:06.5,101.3265
XLB,33:06.9,179.4937
XLRE,34:13.0,115.5117
XLU,33:30.3,78.3233
XLC,34:52.6,75.1803
XLY,32:46.9,168.1499
XLE,35:29.7,286.9883
XLC,33:07.6,88.5125
XLRE,35:47.2,101.0759
XLP,33:49.2,52.2928
XLB,34:38.6,150.8456
XLC,34:00.8,54.2867
XLV,30:03.5,101.6884
XLP,32:14.0,45.1656
XLU,31:25.0,115.9393
XLRE,30:07.7,91.5357
XLU,32:23.8,97.5807
XLU,32:14.7,97.4108
XLU,35:23.7,88.3151
XLU,35:15.7,88.7211
XLU,34:03.2,82.2657
XLRE,34:00.1,108.0042
XLRE,33:20.2,115.1115
XLK,34:59.6,133.8442
XLU,34:46.3,104.3031
XLV,2/12/2026 9:35,229.6275
XLY,31:07.5,87.566
XLY,34:42.1,138.2763
XLRE,33:43.6,115.0927
XLV,30:24.8,92.8988
XLI,35:49.3,222.931
XLC,32:32.6,81.5987
XLE,32:21.4,190.5583
XLF,33:37.7,144.4396
XLK,33:18.4,113.8956
XLE,31:50.6,153.0067
XLU,34:08.1,79.5594
XLRE,35:28.6,104.6192
XLB,30:05.6,107.2209
XLU,34:27.4,103.4962
XLC,30:43.4,77.21
XLK,34:41.4,141.3693
XLE,35:45.1,240.9027
XLF,35:40.5,158.3349
XLY,35:44.4,279.1834
XLF,32:41.7,117.1854
XLK,30:19.9,85.8787
XLU,34:24.2,107.2824
XLC,31:16.3,76.1863
XLK,34:37.5,136.8424
XLF,32:58.5,124.9421
XLP,30:41.6,69.4928
XLV,30:52.8,69.4226
XLC,35:43.3,59.4384
XLC,34:48.0,74.4104
XLB,30:10.8,110.1707
XLB,33:45.4,155.1294
XLF,35:27.9,186.819
XLI,33:45.7,135.179
XLU,33:36.6,78.5625
XLRE,30:11.2,86.3893
XLF,33:53.4,150.896
XLC,31:14.9,79.8801
XLI,33:29.0,107.1834
XLU,35:19.2,93.2563
XLY,30:44.1,105.2234
XLK,30:44.8,94.8981
XLRE,34:58.2,119.9408
XLC,31:33.1,72.7885
XLP,33:21.2,44.5105
XLP,34:18.3,56.6392
XLV,35:47.9,216.1516
XLK,31:48.1,117.2443
XLRE,34:27.4,120.8213
XLE,34:25.6,219.6665
XLY,30:07.3,90.7458
XLE,34:48.4,243.1168
XLB,31:41.5,131.8631
XLY,34:22.8,130.3342
XLU,32:54.3,88.5236
XLB,33:47.2,151.9171
XLK,32:45.5,118.8104
XLK,31:33.8,118.6226
XLE,31:09.3,108.6828
XLF,31:41.5,94.9471
XLY,30:03.5,90.2003
XLP,30:59.5,63.1784
XLC,34:58.5,66.5034
XLU,34:32.6,105.5245
XLK,33:41.9,116.4079
XLY,31:18.0,93.807
XLP,30:26.2,80.5592
XLK,32:24.5,124.9119
XLV,30:24.1,97.9047
XLC,33:55.9,52.0444
XLU,31:55.8,110.4869
XLV,34:01.5,147.2934
XLP,31:42.5,45.2297
XLY,2/12/2026 9:35,195.3694
XLK,30:15.8,92.7971
XLE,33:31.4,197.3025
XLP,31:26.4,49.1002
XLI,33:43.6,138.039
XLY,34:30.5,141.0545
XLE,31:30.6,130.2426
XLC,34:50.1,74.8899
XLK,30:05.6,98.9112
XLE,31:11.0,108.2986
XLB,33:12.5,165.7782
XLU,34:37.5,103.747
XLK,30:54.9,103.6562
XLE,31:49.5,149.0553
XLY,32:01.1,113.7549
XLY,33:39.4,141.6229
XLY,34:22.5,131.2767
XLRE,31:23.3,79.5363
XLF,32:59.5,127.8735
XLF,30:00.7,92.7276
XLF,32:55.3,123.0207
XLU,35:49.6,78.0884
XLV,30:09.1,98.2462
XLI,32:40.6,105.5816
XLU,2/12/2026 9:33,77.1124
XLF,30:36.4,90.5395
XLV,2/12/2026 9:35,207.3062
XLY,33:35.6,140.5427
XLRE,31:19.1,76.98
XLP,33:40.8,50.3227
XLRE,33:01.3,89.9763
XLK,30:41.6,87.3363
XLB,31:09.6,139.5937
XLB,35:43.7,142.6182
XLF,30:43.7,94.8684
XLF,33:49.6,140.1285
XLI,34:06.4,159.3712
XLU,33:33.1,75.2456
XLY,34:28.4,134.9728
XLV,31:04.4,69.7346
XLP,35:14.7,65.062
XLB,35:38.1,147.0758
XLF,32:54.6,122.7091
XLRE,34:08.8,106.5694
XLV,31:36.2,82.9364
XLU,2/12/2026 9:31,115.5681
XLB,31:35.5,143.6668
XLV,30:29.7,89.3112
XLP,33:50.3,54.3399
XLC,35:13.2,63.6797
XLK,2/12/2026 9:32,123.8698
XLRE,35:13.6,108.2652
XLU,35:48.9,76.3291
XLV,30:28.7,89.3693
XLY,35:28.3,205.4676
XLK,30:18.5,86.3486
XLC,34:29.1,82.5903
XLI,31:02.3,96.331
XLY,35:25.5,201.1392
XLC,31:35.2,70.429
XLI,32:31.9,89.3085
XLE,30:31.5,99.8741
XLP,30:17.5,84.4716
XLP,32:27.7,45.9311
XLK,33:22.3,123.7093
XLK,32:30.1,119.9844
XLI,32:49.4,109.4247
XLK,31:44.6,122.6723
XLI,35:24.8,183.7922
XLC,32:49.0,67.6852
XLF,35:05.9,208.5618
XLY,34:36.8,148.5736
XLF,33:10.4,140.0615
XLU,34:26.3,101.9548
XLB,30:26.9,111.2725
XLV,2/12/2026 9:34,146.3528
XLU,31:18.7,107.5246
XLI,31:06.5,86.0917
XLE,34:15.1,222.2554
XLE,31:10.7,107.1755
XLI,33:11.8,97.7153
XLV,33:37.3,142.9667
XLV,32:26.6,126.4009
XLV,32:44.5,137.4228
XLB,33:49.9,154.5845
XLV,34:28.1,163.0357
XLE,2/12/2026 9:33,209.531
XLU,30:52.1,103.9817
XLB,30:45.1,112.6564
XLF,31:24.3,93.1904
XLF,34:24.6,142.6806
XLF,30:38.1,91.1576
XLF,31:07.5,90.7933
XLP,31:22.9,54.6722
XLC,35:05.9,67.6415
XLB,30:34.6,116.2834
XLE,34:22.5,209.9279
XLY,30:40.9,101.9337
XLU,32:19.0,92.8861
XLRE,30:37.8,96.7294
XLC,32:52.9,70.9347
XLC,31:48.8,63.8473
XLRE,31:45.7,79.6446
XLF,31:12.4,93.4815
XLV,34:29.1,163.2005
XLE,34:31.2,210.5048
XLB,31:35.9,144.7464
XLF,34:15.8,150.8721
XLU,31:45.7,117.7986
XLB,30:47.9,115.3591
XLB,30:12.2,106.7948
XLY,32:42.0,168.7155
XLY,34:27.0,136.3739
XLB,30:35.3,116.3727
XLI,32:27.7,84.7944
XLC,35:12.2,63.8093
XLE,31:48.5,148.4361
XLRE,35:30.4,102.8568
XLE,32:14.0,181.5426
XLRE,30:13.3,91.9978
XLY,32:38.9,168.4675
XLY,34:17.9,132.809
XLV,31:53.7,90.5539
XLY,33:59.7,130.4642
XLF,34:11.6,149.1152
XLC,34:30.5,82.7503
